t,q1,q2,dq1,dq2,tip_x,tip_y,tip_z,tip_x_rel,tip_z_rel,elbow_x,elbow_z,step_idx
0.0940000000,4.7089085780,1.4637024217,-0.0578188453,1.4163347646,0.9904125064,0.0000000000,3.6103430635,0.9904125064,1.1103430635,0.5003935426,3.5559376420,47.0000000000
0.0960000000,4.7087931207,1.4665636598,-0.0576235305,1.4448877477,0.9905962977,0.0000000000,3.6076132303,0.9905962977,1.1076132303,0.5004297959,3.5545534969,48.0000000000
0.0980000000,4.7086781439,1.4694819099,-0.0573381507,1.4733465807,0.9907791027,0.0000000000,3.6048253987,0.9907791027,1.1048253987,0.5004657861,3.5531399427,49.0000000000
0.1000000000,4.7085638294,1.4724569824,-0.0569608129,1.5017098691,0.9909606193,0.0000000000,3.6019795478,0.9909606193,1.1019795478,0.5005014497,3.5516969692,50.0000000000
0.1020000000,4.7084503632,1.4754886848,-0.0564896212,1.5299762488,0.9911405397,0.0000000000,3.5990756573,0.9911405397,1.0990756573,0.5005367223,3.5502245666,51.0000000000
0.1040000000,4.7083379348,1.4785768219,-0.0559226768,1.5581443866,0.9913185499,0.0000000000,3.5961137082,0.9913185499,1.0961137082,0.5005715381,3.5487227256,52.0000000000
0.1060000000,4.7082267376,1.4817211960,-0.0552580772,1.5862129802,0.9914943295,0.0000000000,3.5930936819,0.9914943295,1.0930936819,0.5006058302,3.5471914376,53.0000000000
0.1080000000,4.7081169689,1.4849216066,-0.0544939164,1.6141807583,0.9916675523,0.0000000000,3.5900155613,0.9916675523,1.0900155613,0.5006395303,3.5456306945,54.0000000000
0.1100000000,4.7080088296,1.4881778510,-0.0536282848,1.6420464809,0.9918378859,0.0000000000,3.5868793302,0.9918378859,1.0868793302,0.5006725691,3.5440404886,55.0000000000
0.1120000000,4.7079025246,1.4914897237,-0.0526592684,1.6698089394,0.9920049918,0.0000000000,3.5836849735,0.9920049918,1.0836849735,0.5007048759,3.5424208130,56.0000000000
0.1140000000,4.7077982627,1.4948570171,-0.0515849488,1.6974669565,0.9921685253,0.0000000000,3.5804324775,0.9921685253,1.0804324775,0.5007363790,3.5407716617,57.0000000000
0.1160000000,4.7076962563,1.4982795211,-0.0504034030,1.7250193864,0.9923281357,0.0000000000,3.5771218299,0.9923281357,1.0771218299,0.5007670052,3.5390930291,58.0000000000
0.1180000000,4.7075967219,1.5017570235,-0.0491127031,1.7524651149,0.9924834662,0.0000000000,3.5737530197,0.9924834662,1.0737530197,0.5007966803,3.5373849105,59.0000000000
0.1200000000,4.7074998796,1.5052893097,-0.0477109156,1.7798030593,0.9926341536,0.0000000000,3.5703260375,0.9926341536,1.0703260375,0.5008253288,3.5356473021,60.0000000000
0.1220000000,4.7074059536,1.5088761632,-0.0461961018,1.8070321685,0.9927798289,0.0000000000,3.5668408756,0.9927798289,1.0668408756,0.5008528742,3.5338802008,61.0000000000
0.1240000000,4.7073151718,1.5125173652,-0.0445663166,1.8341514228,0.9929201168,0.0000000000,3.5632975277,0.9929201168,1.0632975277,0.5008792386,3.5320836045,62.0000000000
0.1260000000,4.7072277662,1.5162126950,-0.0428196090,1.8611598343,0.9930546358,0.0000000000,3.5596959897,0.9930546358,1.0596959897,0.5009043429,3.5302575120,63.0000000000
0.1280000000,4.7071439726,1.5199619300,-0.0409540214,1.8880564461,0.9931829984,0.0000000000,3.5560362591,0.9931829984,1.0560362591,0.5009281068,3.5284019233,64.0000000000
0.1300000000,4.7070640307,1.5237648456,-0.0389675890,1.9148403331,0.9933048108,0.0000000000,3.5523183355,0.9933048108,1.0523183355,0.5009504490,3.5265168391,65.0000000000
